生肖TOP9预测器 - 300期验证详情
命中率: 85.0%, 最大连miss: 2, ROI: +8.6%
交叉验证: 82.2% ± 6.4%
====================================================================================================

第  1期 | 号码=33 生肖=狗 | 预测=龙,羊,蛇,猪,鸡,牛,马,虎,兔 | ❌ | 正常(多维度组合)
第131期 | 号码=22 生肖=鸡 | 预测=狗,羊,龙,鼠,兔,牛,马,鸡,猪 | ✅ | 正常(多维度组合)
第132期 | 号码=15 生肖=龙 | 预测=狗,羊,龙,鼠,兔,猪,蛇,猴,马 | ✅ | 正常(多维度组合)
第133期 | 号码=48 生肖=羊 | 预测=狗,羊,蛇,鼠,兔,牛,龙,马,虎 | ✅ | 正常(多维度组合)
第134期 | 号码=42 生肖=牛 | 预测=狗,兔,蛇,牛,鼠,龙,虎,马,羊 | ✅ | 正常(多维度组合)
第135期 | 号码=17 生肖=虎 | 预测=狗,鼠,蛇,马,兔,羊,龙,猴,虎 | ✅ | 正常(多维度组合)
第136期 | 号码=20 生肖=猪 | 预测=狗,鼠,蛇,猪,兔,马,龙,鸡,猴 | ✅ | 正常(多维度组合)
第137期 | 号码=39 生肖=龙 | 预测=狗,蛇,鼠,兔,龙,猴,羊,马,牛 | ✅ | 正常(多维度组合)
第138期 | 号码= 6 生肖=牛 | 预测=狗,蛇,鼠,猴,羊,马,兔,牛,鸡 | ✅ | 正常(多维度组合)
第139期 | 号码=16 生肖=兔 | 预测=狗,鼠,蛇,猴,马,羊,兔,牛,鸡 | ✅ | 正常(多维度组合)
第140期 | 号码=37 生肖=马 | 预测=狗,蛇,鼠,猴,马,羊,虎,龙,鸡 | ✅ | 正常(多维度组合)
第141期 | 号码=14 生肖=蛇 | 预测=狗,蛇,鼠,猴,鸡,羊,虎,牛,龙 | ✅ | 正常(多维度组合)
第142期 | 号码=38 生肖=蛇 | 预测=狗,鼠,猴,鸡,羊,猪,牛,蛇,龙 | ✅ | 正常(多维度组合)
第143期 | 号码=23 生肖=猴 | 预测=狗,鼠,猴,鸡,猪,羊,牛,龙,虎 | ✅ | 正常(多维度组合)
第144期 | 号码= 4 生肖=兔 | 预测=狗,鼠,鸡,猪,羊,马,猴,牛,虎 | ❌ | 正常(多维度组合)
第145期 | 号码=24 生肖=羊 | 预测=狗,鼠,鸡,猪,马,羊,龙,虎,猴 | ✅ | 正常(多维度组合)
第146期 | 号码=18 生肖=牛 | 预测=狗,鼠,虎,鸡,猪,猴,马,牛,兔 | ✅ | 正常(多维度组合)
第147期 | 号码= 6 生肖=牛 | 预测=狗,鼠,鸡,虎,马,猪,猴,龙,蛇 | ❌ | 正常(多维度组合)
第148期 | 号码=45 生肖=狗 | 预测=狗,鼠,鸡,虎,马,猪,龙,猴,羊 | ✅ | 正常(多维度组合)
第149期 | 号码=28 生肖=兔 | 预测=鼠,鸡,虎,猪,龙,猴,马,羊,兔 | ✅ | 正常(多维度组合)
第150期 | 号码=23 生肖=猴 | 预测=鼠,鸡,虎,猪,龙,马,猴,羊,蛇 | ✅ | 正常(多维度组合)
第151期 | 号码=47 生肖=猴 | 预测=鼠,鸡,虎,龙,猪,马,羊,狗,蛇 | ❌ | 正常(多维度组合)
第152期 | 号码= 9 生肖=狗 | 预测=鼠,鸡,虎,猪,龙,马,羊,狗,牛 | ✅ | 正常(多维度组合)
第153期 | 号码=15 生肖=龙 | 预测=鼠,虎,鸡,猪,龙,马,羊,蛇,兔 | ✅ | 正常(多维度组合)
第154期 | 号码= 4 生肖=兔 | 预测=鼠,鸡,虎,猪,马,羊,蛇,牛,龙 | ❌ | 正常(多维度组合)
第155期 | 号码=19 生肖=鼠 | 预测=鼠,虎,鸡,猪,马,羊,龙,蛇,牛 | ✅ | 正常(多维度组合)
第156期 | 号码=37 生肖=马 | 预测=鸡,猪,虎,马,羊,蛇,牛,龙,鼠 | ✅ | 正常(多维度组合)
第157期 | 号码= 3 生肖=龙 | 预测=鸡,虎,猪,蛇,羊,牛,龙,马,兔 | ✅ | 正常(多维度组合)
第158期 | 号码=17 生肖=虎 | 预测=鸡,蛇,虎,猪,羊,牛,马,狗,鼠 | ✅ | 正常(多维度组合)
第159期 | 号码=36 生肖=羊 | 预测=鸡,猪,蛇,羊,牛,虎,马,猴,狗 | ✅ | 正常(多维度组合)
第160期 | 号码=26 生肖=蛇 | 预测=鸡,猪,蛇,牛,虎,兔,马,猴,鼠 | ✅ | 正常(多维度组合)
第161期 | 号码=26 生肖=蛇 | 预测=鸡,猪,牛,猴,蛇,鼠,马,羊,虎 | ✅ | 正常(多维度组合)
第162期 | 号码= 6 生肖=牛 | 预测=鸡,猪,牛,猴,鼠,马,羊,虎,兔 | ✅ | 正常(多维度组合)
第163期 | 号码=46 生肖=鸡 | 预测=鸡,猪,马,牛,虎,羊,鼠,猴,兔 | ✅ | 正常(多维度组合)
第164期 | 号码=44 生肖=猪 | 预测=猪,狗,鼠,牛,猴,虎,马,羊,兔 | ✅ | 正常(多维度组合)
第165期 | 号码=17 生肖=虎 | 预测=狗,兔,牛,鼠,马,羊,猴,虎,猪 | ✅ | 正常(多维度组合)
第166期 | 号码= 9 生肖=狗 | 预测=狗,兔,猴,牛,马,羊,鼠,鸡,猪 | ✅ | 正常(多维度组合)
第167期 | 号码= 8 生肖=猪 | 预测=猴,兔,马,牛,羊,鼠,龙,猪,鸡 | ✅ | 正常(多维度组合)
第168期 | 号码=48 生肖=羊 | 预测=猴,兔,牛,鼠,马,羊,狗,蛇,鸡 | ✅ | 正常(多维度组合)
第169期 | 号码=26 生肖=蛇 | 预测=猴,兔,牛,龙,马,鼠,狗,蛇,鸡 | ✅ | 正常(多维度组合)
第170期 | 号码= 6 生肖=牛 | 预测=猴,兔,牛,龙,鼠,马,鸡,狗,虎 | ✅ | 正常(多维度组合)
第171期 | 号码= 4 生肖=兔 | 预测=猴,兔,鼠,马,龙,狗,鸡,虎,牛 | ✅ | 正常(多维度组合)
第172期 | 号码=38 生肖=蛇 | 预测=猴,马,鼠,龙,兔,狗,鸡,猪,虎 | ❌ | 正常(多维度组合)
第173期 | 号码=27 生肖=龙 | 预测=猴,龙,鼠,马,牛,鸡,狗,兔,虎 | ✅ | 正常(多维度组合)
第174期 | 号码=24 生肖=羊 | 预测=猴,鼠,马,狗,兔,虎,鸡,牛,羊 | ✅ | 正常(多维度组合)
第175期 | 号码= 3 生肖=龙 | 预测=猴,鼠,马,狗,兔,牛,虎,鸡,龙 | ✅ | 正常(多维度组合)
第176期 | 号码=13 生肖=马 | 预测=猴,鼠,马,狗,虎,鸡,兔,牛,蛇 | ✅ | 正常(多维度组合)
第177期 | 号码=16 生肖=兔 | 预测=猴,鼠,鸡,兔,狗,虎,马,蛇,龙 | ✅ | 正常(多维度组合)
第178期 | 号码=22 生肖=鸡 | 预测=猴,鼠,虎,狗,鸡,牛,马,蛇,猪 | ✅ | 正常(多维度组合)
第179期 | 号码=49 生肖=马 | 预测=猴,鼠,虎,狗,牛,猪,蛇,马,鸡 | ✅ | 正常(多维度组合)
第180期 | 号码= 4 生肖=兔 | 预测=猴,鼠,虎,狗,猪,牛,鸡,蛇,龙 | ❌ | 正常(多维度组合)
第181期 | 号码=44 生肖=猪 | 预测=猴,鼠,虎,猪,狗,蛇,牛,龙,鸡 | ✅ | 正常(多维度组合)
第182期 | 号码= 1 生肖=马 | 预测=鼠,猴,虎,狗,牛,蛇,羊,龙,鸡 | ❌ | 正常(多维度组合)
第183期 | 号码=30 生肖=牛 | 预测=猴,鼠,虎,狗,牛,蛇,龙,鸡,羊 | ✅ | 正常(多维度组合)
第184期 | 号码= 8 生肖=猪 | 预测=猴,鼠,虎,狗,羊,蛇,鸡,龙,猪 | ✅ | 正常(多维度组合)
第185期 | 号码=24 生肖=羊 | 预测=鼠,猴,虎,狗,蛇,羊,龙,鸡,猪 | ✅ | 正常(多维度组合)
第186期 | 号码=49 生肖=马 | 预测=猴,鼠,虎,狗,蛇,牛,龙,鸡,猪 | ❌ | 正常(多维度组合)
第187期 | 号码= 7 生肖=鼠 | 预测=猴,鼠,虎,狗,蛇,龙,兔,牛,鸡 | ✅ | 正常(多维度组合)
第188期 | 号码=11 生肖=猴 | 预测=猴,虎,蛇,狗,鸡,兔,牛,猪,龙 | ✅ | 正常(多维度组合)
第189期 | 号码=41 生肖=虎 | 预测=狗,虎,蛇,龙,牛,鸡,兔,猪,羊 | ✅ | 正常(多维度组合)
第190期 | 号码=24 生肖=羊 | 预测=狗,蛇,鸡,龙,羊,牛,猪,兔,虎 | ✅ | 正常(多维度组合)
第191期 | 号码=23 生肖=猴 | 预测=蛇,狗,龙,牛,兔,鸡,猪,猴,虎 | ✅ | 正常(多维度组合)
第192期 | 号码=26 生肖=蛇 | 预测=狗,龙,蛇,牛,鸡,兔,虎,猪,鼠 | ✅ | 正常(多维度组合)
第193期 | 号码=12 生肖=羊 | 预测=狗,龙,牛,鸡,兔,蛇,猪,鼠,虎 | ❌ | 正常(多维度组合)
第194期 | 号码=26 生肖=蛇 | 预测=狗,龙,鸡,兔,牛,蛇,猪,虎,鼠 | ✅ | 正常(多维度组合)
第195期 | 号码=29 生肖=虎 | 预测=狗,龙,鸡,牛,兔,鼠,虎,马,猪 | ✅ | 正常(多维度组合)
第196期 | 号码=22 生肖=鸡 | 预测=狗,鸡,龙,兔,牛,猪,马,鼠,羊 | ✅ | 正常(多维度组合)
第197期 | 号码= 9 生肖=狗 | 预测=狗,龙,兔,猪,牛,马,鼠,蛇,鸡 | ✅ | 正常(多维度组合)
第198期 | 号码=45 生肖=狗 | 预测=兔,龙,猪,马,牛,鼠,鸡,狗,蛇 | ✅ | 正常(多维度组合)
