期数,日期,预测TOP4,实际,状态,投注,余额
39,2025/8/31,"牛, 马, 猪, 鸡",蛇,[MISS] 未中 -32元 (连败3) [触发止损，暂停投注],32,-82
40,2025/9/1,"牛, 马, 猪, 鸡",猴,[PAUSE] 暂停投注(第1期，本期未中),0,-82
41,2025/9/2,"牛, 马, 猪, 鸡",狗,[PAUSE] 暂停投注(第2期，本期未中),0,-82
42,2025/9/3,"牛, 马, 羊, 鸡",马,[RESUME] 暂停中(第0期) -> 恢复投注（预测命中）,0,-82
43,2025/9/4,"牛, 羊, 猪, 鸡",狗,[MISS] 未中 -16元 (连败1),16,-98
44,2025/9/5,"牛, 鸡, 猪, 羊",鼠,[MISS] 未中 -16元 (连败2),16,-114
45,2025/9/6,"牛, 羊, 猪, 鸡",蛇,[MISS] 未中 -32元 (连败3) [触发止损，暂停投注],32,-146
46,2025/9/7,"牛, 羊, 猪, 鸡",马,[PAUSE] 暂停投注(第1期，本期未中),0,-146
47,2025/9/8,"牛, 鸡, 羊, 猪",羊,[RESUME] 暂停中(第0期) -> 恢复投注（预测命中）,0,-146
48,2025/9/9,"牛, 鸡, 猪, 猴",羊,[MISS] 未中 -16元 (连败1),16,-162
49,2025/9/10,"牛, 鸡, 猪, 猴",鸡,[HIT] 命中 +29元 (连胜1),16,-133
50,2025/9/11,"牛, 猪, 猴, 兔",牛,[HIT] 命中 +29元 (连胜2),16,-104
51,2025/9/12,"猪, 猴, 马, 牛",鼠,[MISS] 未中 -16元 (连败1),16,-120
52,2025/9/13,"猪, 猴, 鸡, 马",马,[HIT] 命中 +29元 (连胜1),16,-91
53,2025/9/14,"猪, 牛, 猴, 鸡",虎,[MISS] 未中 -16元 (连败1),16,-107
54,2025/9/15,"猪, 牛, 猴, 鸡",龙,[MISS] 未中 -16元 (连败2),16,-123
55,2025/9/16,"猪, 牛, 鸡, 猴",羊,[MISS] 未中 -32元 (连败3) [触发止损，暂停投注],32,-155
56,2025/9/17,"猪, 牛, 鸡, 猴",兔,[PAUSE] 暂停投注(第1期，本期未中),0,-155
57,2025/9/18,"猪, 牛, 鸡, 猴",鸡,[RESUME] 暂停中(第0期) -> 恢复投注（预测命中）,0,-155
58,2025/9/19,"猪, 牛, 猴, 狗",狗,[HIT] 命中 +29元 (连胜1),16,-126
59,2025/9/20,"猪, 牛, 猴, 兔",龙,[MISS] 未中 -16元 (连败1),16,-142
60,2025/9/21,"猪, 牛, 猴, 兔",猪,[HIT] 命中 +29元 (连胜1),16,-113
61,2025/9/22,"猴, 牛, 兔, 鸡",猴,[HIT] 命中 +29元 (连胜2),16,-84
62,2025/9/23,"牛, 兔, 蛇, 虎",牛,[HIT] 命中 +29元 (连胜3),16,-55
63,2025/9/24,"猪, 蛇, 鸡, 马",牛,[MISS] 未中 -16元 (连败1),16,-71
64,2025/9/25,"猪, 蛇, 鼠, 鸡",猴,[MISS] 未中 -16元 (连败2),16,-87
65,2025/9/26,"猪, 鼠, 鸡, 兔",猪,[HIT] 命中 +58元 (连胜1),32,-29
66,2025/9/27,"蛇, 兔, 鼠, 鸡",羊,[MISS] 未中 -16元 (连败1),16,-45
67,2025/9/28,"鼠, 蛇, 兔, 鸡",鼠,[HIT] 命中 +29元 (连胜1),16,-16
68,2025/9/29,"蛇, 兔, 虎, 鸡",马,[MISS] 未中 -16元 (连败1),16,-32
69,2025/9/30,"兔, 虎, 蛇, 鸡",虎,[HIT] 命中 +29元 (连胜1),16,-3
70,2025/10/1,"兔, 鸡, 蛇, 龙",狗,[MISS] 未中 -16元 (连败1),16,-19
71,2025/10/2,"兔, 鸡, 蛇, 龙",鸡,[HIT] 命中 +29元 (连胜1),16,10
72,2025/10/3,"兔, 蛇, 龙, 猪",鸡,[MISS] 未中 -16元 (连败1),16,-6
73,2025/10/4,"兔, 蛇, 龙, 猪",虎,[MISS] 未中 -16元 (连败2),16,-22
74,2025/10/5,"兔, 蛇, 龙, 猪",虎,[MISS] 未中 -32元 (连败3) [触发止损，暂停投注],32,-54
75,2025/10/6,"兔, 蛇, 龙, 鼠",兔,[RESUME] 暂停中(第0期) -> 恢复投注（预测命中）,0,-54
76,2025/10/7,"蛇, 龙, 鼠, 猴",鼠,[HIT] 命中 +29元 (连胜1),16,-25
77,2025/10/8,"蛇, 龙, 猴, 马",羊,[MISS] 未中 -16元 (连败1),16,-41
78,2025/10/9,"蛇, 龙, 猴, 猪",牛,[MISS] 未中 -16元 (连败2),16,-57
79,2025/10/10,"蛇, 龙, 猪, 猴",鸡,[MISS] 未中 -32元 (连败3) [触发止损，暂停投注],32,-89
80,2025/10/11,"蛇, 龙, 猴, 猪",牛,[PAUSE] 暂停投注(第1期，本期未中),0,-89
81,2025/10/12,"蛇, 龙, 猪, 马",马,[RESUME] 暂停中(第0期) -> 恢复投注（预测命中）,0,-89
82,2025/10/13,"蛇, 猴, 龙, 猪",兔,[MISS] 未中 -16元 (连败1),16,-105
83,2025/10/14,"蛇, 猴, 龙, 猪",猴,[HIT] 命中 +29元 (连胜1),16,-76
84,2025/10/15,"蛇, 猪, 狗, 龙",龙,[HIT] 命中 +29元 (连胜2),16,-47
85,2025/10/16,"蛇, 狗, 猪, 鼠",鼠,[HIT] 命中 +29元 (连胜3),16,-18
86,2025/10/17,"蛇, 猪, 狗, 羊",猪,[HIT] 命中 +29元 (连胜4),16,11
87,2025/10/18,"蛇, 狗, 羊, 马",狗,[HIT] 命中 +29元 (连胜5),16,40
88,2025/10/19,"蛇, 龙, 兔, 马",龙,[HIT] 命中 +29元 (连胜6),16,69
89,2025/10/20,"蛇, 马, 羊, 兔",羊,[HIT] 命中 +29元 (连胜7),16,98
90,2025/10/21,"蛇, 马, 兔, 猴",鼠,[MISS] 未中 -16元 (连败1),16,82
91,2025/10/22,"蛇, 马, 猪, 兔",牛,[MISS] 未中 -16元 (连败2),16,66
92,2025/10/23,"蛇, 猪, 猴, 兔",猴,[HIT] 命中 +58元 (连胜1),32,124
93,2025/10/24,"蛇, 马, 狗, 猪",狗,[HIT] 命中 +29元 (连胜2),16,153
94,2025/10/25,"蛇, 马, 猪, 兔",羊,[MISS] 未中 -16元 (连败1),16,137
95,2025/10/26,"蛇, 马, 兔, 猪",蛇,[HIT] 命中 +29元 (连胜1),16,166
96,2025/10/27,"猪, 兔, 马, 猴",虎,[MISS] 未中 -16元 (连败1),16,150
97,2025/10/28,"兔, 猪, 马, 龙",牛,[MISS] 未中 -16元 (连败2),16,134
98,2025/10/29,"猪, 兔, 蛇, 马",猴,[MISS] 未中 -32元 (连败3) [触发止损，暂停投注],32,102
99,2025/10/30,"马, 猪, 兔, 蛇",兔,[RESUME] 暂停中(第0期) -> 恢复投注（预测命中）,0,102
100,2025/10/31,"马, 猪, 蛇, 龙",马,[HIT] 命中 +29元 (连胜1),16,131
101,2025/11/1,"猪, 蛇, 龙, 狗",鼠,[MISS] 未中 -16元 (连败1),16,115
102,2025/11/2,"猪, 蛇, 鸡, 龙",牛,[MISS] 未中 -16元 (连败2),16,99
103,2025/11/3,"猪, 鸡, 蛇, 龙",狗,[MISS] 未中 -32元 (连败3) [触发止损，暂停投注],32,67
104,2025/11/4,"猪, 蛇, 鸡, 龙",兔,[PAUSE] 暂停投注(第1期，本期未中),0,67
105,2025/11/5,"猪, 蛇, 鸡, 虎",鼠,[PAUSE] 暂停投注(第2期，本期未中),0,67
106,2025/11/6,"猪, 蛇, 鸡, 虎",虎,[RESUME] 暂停中(第0期) -> 恢复投注（预测命中）,0,67
107,2025/11/7,"猪, 蛇, 鸡, 龙",蛇,[HIT] 命中 +29元 (连胜1),16,96
108,2025/11/8,"猪, 鸡, 龙, 羊",龙,[HIT] 命中 +29元 (连胜2),16,125
109,2025/11/9,"猪, 鸡, 羊, 马",龙,[MISS] 未中 -16元 (连败1),16,109
110,2025/11/10,"鸡, 猪, 羊, 马",羊,[HIT] 命中 +29元 (连胜1),16,138
111,2025/11/11,"鸡, 猪, 蛇, 马",虎,[MISS] 未中 -16元 (连败1),16,122
112,2025/11/12,"鸡, 猪, 马, 蛇",马,[HIT] 命中 +29元 (连胜1),16,151
113,2025/11/13,"鸡, 猪, 蛇, 兔",鼠,[MISS] 未中 -16元 (连败1),16,135
114,2025/11/14,"鸡, 猪, 猴, 蛇",鼠,[MISS] 未中 -16元 (连败2),16,119
115,2025/11/15,"鸡, 猪, 猴, 蛇",鸡,[HIT] 命中 +58元 (连胜1),32,177
116,2025/11/16,"猪, 猴, 蛇, 兔",虎,[MISS] 未中 -16元 (连败1),16,161
117,2025/11/17,"猪, 猴, 蛇, 兔",羊,[MISS] 未中 -16元 (连败2),16,145
118,2025/11/18,"猪, 猴, 狗, 鸡",羊,[MISS] 未中 -32元 (连败3) [触发止损，暂停投注],32,113
119,2025/11/19,"猪, 猴, 狗, 鸡",鸡,[RESUME] 暂停中(第0期) -> 恢复投注（预测命中）,0,113
120,2025/11/20,"猪, 蛇, 猴, 兔",兔,[HIT] 命中 +29元 (连胜1),16,142
121,2025/11/21,"猪, 蛇, 猴, 狗",虎,[MISS] 未中 -16元 (连败1),16,126
122,2025/11/22,"猪, 猴, 蛇, 狗",猪,[HIT] 命中 +29元 (连胜1),16,155
123,2025/11/23,"猴, 蛇, 牛, 狗",蛇,[HIT] 命中 +29元 (连胜2),16,184
124,2025/11/24,"狗, 猴, 牛, 马",兔,[MISS] 未中 -16元 (连败1),16,168
125,2025/11/25,"狗, 猴, 牛, 马",牛,[HIT] 命中 +29元 (连胜1),16,197
126,2025/11/26,"狗, 猴, 猪, 马",马,[HIT] 命中 +29元 (连胜2),16,226
127,2025/11/27,"猴, 狗, 猪, 龙",龙,[HIT] 命中 +29元 (连胜3),16,255
128,2025/11/28,"猴, 猪, 狗, 蛇",龙,[MISS] 未中 -16元 (连败1),16,239
129,2025/11/29,"猴, 狗, 猪, 蛇",鼠,[MISS] 未中 -16元 (连败2),16,223
130,2025/11/30,"猴, 狗, 猪, 蛇",猴,[HIT] 命中 +58元 (连胜1),32,281
131,2025/12/1,"狗, 猪, 蛇, 牛",狗,[HIT] 命中 +29元 (连胜2),16,310
132,2025/12/2,"猪, 鸡, 蛇, 牛",牛,[HIT] 命中 +29元 (连胜3),16,339
133,2025/12/3,"猪, 鸡, 猴, 蛇",鸡,[HIT] 命中 +29元 (连胜4),16,368
134,2025/12/4,"猪, 猴, 狗, 马",狗,[HIT] 命中 +29元 (连胜5),16,397
135,2025/12/5,"猪, 马, 猴, 蛇",马,[HIT] 命中 +29元 (连胜6),16,426
136,2025/12/6,"猪, 猴, 蛇, 兔",虎,[MISS] 未中 -16元 (连败1),16,410
137,2025/12/7,"猪, 猴, 蛇, 兔",鼠,[MISS] 未中 -16元 (连败2),16,394
138,2025/12/8,"蛇, 猪, 猴, 兔",虎,[MISS] 未中 -32元 (连败3) [触发止损，暂停投注],32,362
139,2025/12/9,"蛇, 猪, 猴, 兔",龙,[PAUSE] 暂停投注(第1期，本期未中),0,362
140,2025/12/10,"蛇, 猪, 猴, 兔",兔,[RESUME] 暂停中(第0期) -> 恢复投注（预测命中）,0,362
141,2025/12/11,"蛇, 猪, 羊, 猴",马,[MISS] 未中 -16元 (连败1),16,346
142,2025/12/12,"蛇, 猪, 羊, 猴",兔,[MISS] 未中 -16元 (连败2),16,330
143,2025/12/13,"猪, 蛇, 猴, 羊",蛇,[HIT] 命中 +58元 (连胜1),32,388
144,2025/12/14,"猪, 猴, 羊, 狗",虎,[MISS] 未中 -16元 (连败1),16,372
145,2025/12/15,"猪, 猴, 羊, 牛",猴,[HIT] 命中 +29元 (连胜1),16,401
146,2025/12/16,"猪, 鸡, 牛, 羊",蛇,[MISS] 未中 -16元 (连败1),16,385
147,2025/12/17,"猪, 鸡, 牛, 羊",虎,[MISS] 未中 -16元 (连败2),16,369
148,2025/12/18,"猪, 牛, 羊, 鸡",狗,[MISS] 未中 -32元 (连败3) [触发止损，暂停投注],32,337
149,2025/12/19,"猪, 羊, 鸡, 牛",蛇,[PAUSE] 暂停投注(第1期，本期未中),0,337
150,2025/12/20,"羊, 猪, 鸡, 牛",鼠,[PAUSE] 暂停投注(第2期，本期未中),0,337
151,2025/12/21,"羊, 猪, 鸡, 牛",狗,[PAUSE] 暂停投注(第3期，本期未中),0,337
152,2025/12/22,"羊, 猪, 鸡, 牛",马,[PAUSE] 暂停投注(第4期，本期未中),0,337
153,2025/12/23,"羊, 猪, 牛, 鸡",蛇,[PAUSE] 暂停投注(第5期，本期未中),0,337
154,2025/12/24,"羊, 猪, 鸡, 牛",猪,[RESUME] 暂停中(第0期) -> 恢复投注（预测命中）,0,337
155,2025/12/25,"羊, 鸡, 牛, 猴",羊,[HIT] 命中 +29元 (连胜1),16,366
156,2025/12/26,"牛, 鸡, 猴, 兔",牛,[HIT] 命中 +29元 (连胜2),16,395
157,2025/12/27,"鸡, 猪, 猴, 兔",马,[MISS] 未中 -16元 (连败1),16,379
158,2025/12/28,"鸡, 猪, 羊, 猴",羊,[HIT] 命中 +29元 (连胜1),16,408
159,2025/12/29,"鸡, 猪, 龙, 猴",龙,[HIT] 命中 +29元 (连胜2),16,437
160,2025/12/30,"鸡, 猪, 猴, 兔",马,[MISS] 未中 -16元 (连败1),16,421
161,2025/12/31,"猴, 鸡, 猪, 兔",龙,[MISS] 未中 -16元 (连败2),16,405
162,2026/1/1,"猴, 鸡, 猪, 兔",牛,[MISS] 未中 -32元 (连败3) [触发止损，暂停投注],32,373
163,2026/1/2,"猴, 鸡, 猪, 兔",猴,[RESUME] 暂停中(第0期) -> 恢复投注（预测命中）,0,373
164,2026/1/3,"鸡, 猪, 兔, 鼠",鸡,[HIT] 命中 +29元 (连胜1),16,402
165,2026/1/4,"兔, 猪, 鼠, 狗",鸡,[MISS] 未中 -16元 (连败1),16,386
166,2026/1/5,"兔, 猪, 鼠, 狗",猪,[HIT] 命中 +29元 (连胜1),16,415
167,2026/1/6,"鼠, 兔, 狗, 猴",蛇,[MISS] 未中 -16元 (连败1),16,399
168,2026/1/7,"鼠, 兔, 狗, 猴",牛,[MISS] 未中 -16元 (连败2),16,383
169,2026/1/8,"鼠, 狗, 兔, 虎",鸡,[MISS] 未中 -32元 (连败3) [触发止损，暂停投注],32,351
170,2026/1/9,"鼠, 狗, 兔, 虎",虎,[RESUME] 暂停中(第0期) -> 恢复投注（预测命中）,0,351
171,2026/1/10,"鼠, 兔, 狗, 羊",兔,[HIT] 命中 +29元 (连胜1),16,380
172,2026/1/11,"鼠, 狗, 猴, 羊",羊,[HIT] 命中 +29元 (连胜2),16,409
173,2026/1/12,"鼠, 狗, 猴, 猪",羊,[MISS] 未中 -16元 (连败1),16,393
174,2026/1/13,"鼠, 狗, 兔, 龙",蛇,[MISS] 未中 -16元 (连败2),16,377
175,2026/1/14,"鼠, 狗, 兔, 龙",龙,[HIT] 命中 +58元 (连胜1),32,435
176,2026/1/15,"猴, 鼠, 狗, 兔",猪,[MISS] 未中 -16元 (连败1),16,419
177,2026/1/16,"猴, 鼠, 兔, 狗",鼠,[HIT] 命中 +29元 (连胜1),16,448
178,2026/1/17,"猴, 兔, 狗, 虎",狗,[HIT] 命中 +29元 (连胜2),16,477
179,2026/1/18,"猴, 虎, 兔, 马",兔,[HIT] 命中 +29元 (连胜3),16,506
180,2026/1/19,"猴, 虎, 鼠, 马",猴,[HIT] 命中 +29元 (连胜4),16,535
181,2026/1/20,"鼠, 虎, 马, 狗",马,[HIT] 命中 +29元 (连胜5),16,564
182,2026/1/21,"鼠, 虎, 狗, 牛",鼠,[HIT] 命中 +29元 (连胜6),16,593
183,2026/1/22,"虎, 狗, 牛, 猪",鼠,[MISS] 未中 -16元 (连败1),16,577
184,2026/1/23,"虎, 狗, 牛, 猴",羊,[MISS] 未中 -16元 (连败2),16,561
185,2026/1/24,"虎, 猪, 狗, 兔",虎,[HIT] 命中 +58元 (连胜1),32,619
186,2026/1/25,"猴, 狗, 兔, 猪",蛇,[MISS] 未中 -16元 (连败1),16,603
187,2026/1/26,"牛, 猴, 猪, 狗",猪,[HIT] 命中 +29元 (连胜1),16,632
188,2026/1/27,"牛, 猴, 狗, 马",鸡,[MISS] 未中 -16元 (连败1),16,616
189,2026/1/28,"牛, 狗, 猴, 马",兔,[MISS] 未中 -16元 (连败2),16,600
190,2026/1/29,"牛, 狗, 龙, 猴",蛇,[MISS] 未中 -32元 (连败3) [触发止损，暂停投注],32,568
191,2026/1/30,"狗, 牛, 龙, 马",牛,[RESUME] 暂停中(第0期) -> 恢复投注（预测命中）,0,568
192,2026/1/31,"狗, 龙, 猴, 马",龙,[HIT] 命中 +29元 (连胜1),16,597
193,2026/2/1,"狗, 马, 猴, 虎",鼠,[MISS] 未中 -16元 (连败1),16,581
194,2026/2/2,"马, 猴, 狗, 虎",牛,[MISS] 未中 -16元 (连败2),16,565
195,2026/2/3,"马, 猴, 狗, 虎",猪,[MISS] 未中 -32元 (连败3) [触发止损，暂停投注],32,533
196,2026/2/4,"马, 猴, 狗, 鸡",兔,[PAUSE] 暂停投注(第1期，本期未中),0,533
197,2026/2/5,"猴, 狗, 马, 鸡",蛇,[PAUSE] 暂停投注(第2期，本期未中),0,533
198,2026/2/6,"马, 猴, 狗, 虎",猪,[PAUSE] 暂停投注(第3期，本期未中),0,533
199,2026/2/7,"狗, 马, 猴, 虎",鼠,[PAUSE] 暂停投注(第4期，本期未中),0,533
200,2026/2/8,"狗, 马, 猴, 鸡",羊,[PAUSE] 暂停投注(第5期，本期未中),0,533
